"","SPX","NKY","KOSPI","HSI","TWSE","UKX","AS51"
"2022-04-29",0.00036054345661899,0.000107138081976649,5.42334225111207e-05,0.000326992279259071,9.3252183643028e-05,6.8659280525139e-05,6.32558728029684e-05
"2022-05-02",0.00031882874163584,0.000121635205562854,5.91955187347098e-05,0.000330484896840672,9.40738870372717e-05,7.85067167566929e-05,5.84224934606535e-05
"2022-05-03",0.000283588352369322,0.00011244318104569,5.78756148757015e-05,0.000305651075032543,9.27624471537393e-05,7.19686686004248e-05,5.97650295889372e-05
"2022-05-04",0.00034428786343587,0.000103971409544304,5.51257048590842e-05,0.000296854678916286,8.77081753480003e-05,7.57714119298167e-05,5.67261591004564e-05
"2022-05-05",0.000431336704195686,0.000107720924992104,5.84757436433517e-05,0.000293850283975634,8.27636882936813e-05,7.87907870550137e-05,5.22661553586335e-05
"2022-05-06",0.00038887111080164,0.000149466005668174,5.47552557056649e-05,0.000308233409563766,8.02959388321114e-05,7.28905336754054e-05,5.41933718284202e-05
"2022-05-09",0.000472815292514134,0.000178951925005042,5.98826170530433e-05,0.000284609904014112,9.99267136303989e-05,0.000121628983055158,6.22831298631993e-05
"2022-05-10",0.00041660049290887,0.000172384427082757,6.0933749814288e-05,0.000263492153681976,0.000102478577319286,0.000118664648523209,5.76564310518431e-05
"2022-05-11",0.000399651292380393,0.000156672223326365,5.83563103800887e-05,0.00024594379939654,9.75501735773893e-05,0.000124890656709884,5.32606764149418e-05
"2022-05-12",0.000353209827910143,0.000158523044898162,6.68765041327453e-05,0.000247985426851884,0.000121457557182295,0.000118702288485571,6.64028462317809e-05
"2022-05-13",0.000366842394282708,0.000211786712261488,0.000100064560191292,0.000276713696022338,0.00012850690411838,0.000151096423464749,8.91963668056468e-05
"2022-05-16",0.000323829696439269,0.000195889865159047,0.000105757477589207,0.000259909328501821,0.000122516229556925,0.000138533539417789,8.41435929239394e-05
"2022-05-17",0.000326768540542211,0.00018007167255583,0.000105656922032373,0.0003253446715922,0.000122365425906625,0.000134140351769655,7.78728261809927e-05
"2022-05-18",0.000458470165255104,0.000163278737294202,0.000100543032578173,0.000302282368982666,0.00011837595559025,0.000145798360507621,7.18406331107735e-05
"2022-05-19",0.00041397897837641,0.000149186558781857,9.45169606152557e-05,0.000280270135309611,0.000111961666022085,0.000135801904985637,6.58873066449696e-05
"2022-05-20",0.000365124794253546,0.000159467038993879,0.000121848336737302,0.000327743195387925,0.000113108142714935,0.000131953079233288,7.44599795856256e-05
